X,Y,Z,V_x,V_y,V_z
-60.0,-50.0,3.1696191514317646e-16,78.97090928492852,-223.82758212244755,-38.814228505072556
-59.65925826289069,-52.49999999999999,-0.6698729810778056,117.78513779000104,-218.8917106889943,-37.49166574053492
-58.66025403784439,-54.82962913144534,-1.294095225512603,153.95424076599835,-204.4204678699113,-33.614107913686944
-57.071067811865476,-56.83012701892219,-1.830127018922192,185.0133536173749,-181.40004494845942,-27.445804182461007
-55.00000000000001,-58.365163037378075,-2.2414386804201327,208.84584913092033,-151.3992457036881,-19.4071142525363
-52.58819045102521,-59.33012701892219,-2.499999999999999,223.8275821224475,-116.46257502546356,-10.045861558073948
-50.0,-59.65925826289068,-2.5881904510252074,228.9375722470682,-78.97090928492857,-6.2418039988731704e-15
-47.411809548974794,-59.3301270189222,-2.5000000000000004,223.82758212244755,-41.47924354439368,10.045861558073904
-45.00000000000001,-58.36516303737808,-2.241438680420135,208.84584913092044,-6.542572866169138,19.407114252536253
-42.928932188134524,-56.8301270189222,-1.8301270189221936,185.013353617375,23.458226378602276,27.44580418246099
-41.33974596215562,-54.829629131445344,-1.2940952255126048,153.95424076599846,46.478649300054144,33.61410791368692
-40.34074173710932,-52.50000000000001,-0.6698729810778088,117.78513779000122,60.949892119137175,37.491665740534906
-38.75,-50.0,0.0,78.97090928492854,65.38539358476727,38.680154776277554
-39.05324520597698,-47.493974463099526,0.6714875188242531,44.505680612710066,61.4942507582965,37.637526198290544
-39.94663279636161,-45.123049411553886,1.3067749717006247,11.898481339202817,50.030594795843925,34.56584884084316
-41.3820000149115,-43.01504202858299,1.8716138476065214,-17.09282598269948,31.61243435760214,29.63071762534942
-43.281965843343656,-41.28359553784016,2.335553536538763,-40.90531247115284,7.232697240159894,23.098186753047703
-45.544102632059484,-40.022052667809575,2.6735829297806997,-58.255240815932396,-21.79429861802174,15.32042665414639
-48.04645800124703,-39.29842352115278,2.8674787752470112,-68.20727188910952,-53.90370035687038,6.716738388775411
-50.654129325242856,-39.151719132470454,2.9067880977205403,-70.22488911954197,-87.36448181743583,-2.2490509816973803
-53.22653636799976,-39.5898483733295,2.7893917214518993,-64.19932224009638,-120.37276361017854,-11.093593431601718
-55.625,-40.58919158294966,2.5216185154726505,-50.45541112090355,-151.1490607197764,-19.34007738813877
-57.72021842602325,-42.09587391022997,2.1179042026276464,-29.73409356787792,-178.03421500290355,-26.543932766688823
